GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2025,0.0,9.63,17.44,16.41,9.38,14.35,31.58,20.74,48.47,37.29,21.03,6.72,11.24,9.76,254.04
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2025,0.0,85.76,142.4,113.63,119.21,164.46,272.53,112.34,149.0,178.56,105.1,102.56,60.24,81.94,1687.73
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2025,0.0,28.89,51.88,37.65,44.72,12.5,113.28,46.01,65.84,61.67,14.87,5.35,8.16,7.28,498.1
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2025,0.0,16.93,30.5,37.03,27.54,13.9,100.24,29.43,44.15,45.52,9.74,3.34,7.45,3.88,369.65
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2025,0.0,20.95,39.4,24.89,38.96,7.6,90.85,36.27,35.14,46.15,11.82,2.79,4.12,9.98,368.92
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2025,0.0,23.55,38.88,49.45,37.1,11.12,145.43,32.41,31.04,52.49,7.22,2.66,4.33,3.49,439.17
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2025,0.0,11.55,21.49,17.85,17.38,41.84,47.78,20.44,31.89,41.6,22.58,30.81,29.44,10.02,344.67
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2025,0.0,26.55,42.38,52.51,32.91,119.91,143.65,50.26,118.79,111.23,80.91,77.86,51.92,47.48,956.36
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2025,0.0,25.2,42.29,36.17,34.23,48.81,94.53,30.22,49.87,65.54,36.95,44.44,24.54,24.1,556.89
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2025,0.0,10.63,20.5,12.27,17.63,11.23,34.91,14.06,15.28,25.51,9.18,5.16,6.78,4.99,188.13
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2025,0.0,19.56,40.37,25.35,39.19,6.61,91.7,27.7,23.26,40.5,5.95,2.58,2.78,2.4,327.95
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2025,0.0,6.87,12.97,28.89,8.73,85.49,111.72,49.38,100.01,89.93,59.89,42.8,30.27,19.99,646.94
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2025,0.0,10.46,24.4,22.0,18.52,18.52,66.37,23.58,37.15,52.75,14.21,8.64,10.09,4.65,311.34
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2025,0.0,28.65,54.67,72.95,51.63,10.9,227.53,52.79,73.34,99.57,13.7,5.02,6.62,4.71,702.08
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2025,0.0,38.66,59.82,36.91,54.04,90.51,83.05,38.01,74.21,81.21,63.38,63.97,39.07,49.28,772.12
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2025,0.0,15.64,34.16,23.45,21.02,25.33,61.56,27.51,42.96,55.01,26.26,13.63,20.16,10.98,377.67
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2025,0.0,14.54,33.49,31.41,21.26,17.03,78.58,24.08,39.61,61.0,21.9,8.46,16.96,8.01,376.33
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2025,0.0,21.72,35.24,77.26,17.77,232.99,223.92,114.22,231.94,193.83,166.66,156.05,101.07,92.39,1665.06
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2025,0.0,12.5,22.75,27.52,17.72,83.52,73.89,30.9,86.33,62.07,42.25,41.77,39.7,22.62,563.54
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2025,0.0,12.77,28.15,39.68,20.46,19.73,113.69,26.71,42.17,69.94,13.05,5.32,9.55,4.96,406.18
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2025,0.0,13.07,27.65,18.78,20.68,40.81,62.52,26.21,54.2,38.53,15.4,17.98,13.49,9.82,359.14
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2025,0.0,2.88,5.34,14.43,1.78,62.21,35.13,18.45,49.47,36.75,45.48,60.85,39.91,20.09,392.77
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,2025,0.0,40.22,72.14,32.61,70.34,27.88,74.18,38.21,15.56,56.84,9.56,4.51,11.45,5.39,458.89
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2025,0.0,142.3,233.66,87.01,263.57,41.25,229.51,113.96,42.25,126.7,13.08,7.67,16.15,7.44,1324.55
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2025,0.0,46.05,88.9,83.84,71.06,82.68,253.11,72.72,75.65,139.68,34.87,20.96,31.81,38.58,1039.91
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2025,0.0,12.62,24.77,24.76,15.05,75.98,58.22,23.69,54.19,59.7,42.48,53.57,36.27,23.72,505.02
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2025,0.0,23.58,20.64,46.68,7.77,151.08,95.64,53.56,144.82,138.4,216.05,175.74,112.38,116.27,1302.61
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2025,0.0,8.01,14.39,43.08,7.5,75.4,159.49,103.26,171.08,117.43,75.08,65.22,46.23,35.41,921.58
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2025,0.0,3.11,5.69,9.03,4.52,23.3,24.07,6.26,21.24,14.93,15.47,11.37,11.27,5.46,155.72
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2025,0.0,4.45,8.6,9.32,6.55,15.0,27.94,7.53,9.2,15.63,5.29,3.46,5.61,2.98,121.56
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2025,0.0,19.38,41.7,36.37,32.47,20.45,120.42,32.44,43.02,60.15,15.61,5.66,9.4,6.65,443.72
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2025,0.0,12.38,23.34,28.13,18.67,15.47,91.65,30.38,39.15,47.88,10.53,4.07,5.36,3.66,330.67
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2025,0.0,167.04,118.97,61.95,256.3,78.08,169.19,51.88,81.24,109.99,78.52,54.77,38.72,48.92,1315.57
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2025,0.0,80.13,113.95,94.59,129.9,51.85,240.11,123.2,92.06,120.01,31.8,17.51,25.09,16.33,1136.53
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2025,0.0,18.89,36.29,36.79,23.85,69.93,104.23,43.47,82.29,75.28,28.54,19.47,20.91,16.77,576.71
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2025,0.0,14.33,27.47,28.95,20.54,16.53,107.05,35.66,41.29,52.82,10.88,6.21,5.91,4.67,372.31
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2025,0.0,11.4,14.97,16.98,14.43,14.99,42.84,32.84,37.65,33.77,11.55,5.6,7.28,3.24,247.54
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2025,0.0,124.32,218.81,97.04,223.0,55.17,292.5,136.95,78.6,154.86,27.43,12.66,21.2,17.43,1459.97
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2025,0.0,41.09,55.88,29.8,57.92,9.63,88.07,30.75,15.62,39.13,3.12,1.66,2.21,1.23,376.11
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2025,0.0,191.1,111.37,32.19,345.45,18.27,83.46,31.56,20.2,57.49,14.05,14.68,8.98,10.0,938.8
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2025,0.0,9.13,15.81,52.02,7.08,141.98,106.78,50.24,177.19,132.45,127.17,98.06,79.93,60.29,1058.13
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2025,0.0,101.81,81.34,38.13,148.09,54.3,87.03,33.83,30.26,55.41,31.63,46.55,21.78,27.1,757.26
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2025,0.0,57.26,106.12,92.63,97.38,152.05,279.68,87.52,190.71,133.84,144.55,145.85,84.31,91.7,1663.6
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2025,0.0,7.29,12.72,24.24,8.43,40.43,68.19,27.49,42.29,44.0,23.27,19.35,21.93,10.43,350.06
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2025,0.0,45.22,65.85,31.03,72.24,11.4,91.51,52.62,31.22,56.62,14.24,3.7,5.68,10.94,492.27
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2025,0.0,57.87,76.81,65.86,77.21,132.49,133.58,94.49,94.01,115.47,65.68,67.39,66.92,59.93,1107.71
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2025,0.0,13.34,26.89,19.26,20.84,6.82,62.36,24.09,32.64,39.32,7.08,2.23,2.63,3.67,261.17
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2025,0.0,19.51,37.84,39.39,28.71,44.23,126.58,43.17,81.74,96.57,30.11,16.61,18.65,12.95,596.06
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2025,0.0,14.26,23.35,20.1,17.91,12.71,61.86,18.85,51.85,32.42,24.25,11.62,10.71,20.92,320.81
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2025,0.0,15.93,30.64,36.38,18.32,50.43,111.37,47.31,87.38,88.55,34.56,18.71,18.63,12.12,570.33
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2025,0.0,45.24,51.6,62.79,56.82,23.28,155.73,72.0,70.87,56.7,14.51,7.58,11.38,6.72,635.22
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2025,0.0,30.75,40.44,30.64,40.99,32.33,65.88,51.05,39.76,56.31,25.46,14.08,21.41,23.15,472.25
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2025,0.0,20.43,21.33,16.28,34.76,28.75,50.61,14.54,30.28,31.07,17.83,15.75,11.54,8.17,301.34
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2025,0.0,196.57,122.92,95.36,243.13,12.02,272.7,67.89,54.74,70.33,5.95,1.41,2.8,5.53,1151.35
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2025,0.0,42.94,61.57,47.47,59.47,154.05,91.33,53.52,49.3,79.3,64.88,78.84,77.94,66.34,926.95
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2025,0.0,93.58,98.0,47.66,121.67,23.48,127.54,60.69,35.66,57.63,11.87,6.35,8.5,7.84,700.47
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2025,0.0,127.36,128.14,79.85,204.11,96.0,192.79,85.33,87.94,109.12,55.81,49.36,53.57,34.08,1303.46
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2025,0.0,34.17,47.78,19.01,51.95,18.29,32.66,23.26,12.33,27.4,12.74,7.48,10.65,15.11,312.83
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2025,0.0,222.69,235.52,109.45,272.71,74.8,259.6,127.17,67.23,121.42,24.6,14.85,27.14,19.2,1576.38
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2025,0.0,27.75,36.94,36.05,26.45,54.94,92.7,39.02,89.28,69.97,91.76,66.57,40.71,52.4,724.54
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2025,0.0,22.4,18.69,48.44,6.03,53.58,72.2,43.72,185.45,92.63,150.24,67.89,51.88,108.33,921.48
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2025,0.0,121.27,147.84,59.29,160.53,56.56,91.41,62.03,35.35,77.94,31.32,18.63,35.37,29.0,926.54
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2025,0.0,25.22,28.77,41.53,24.71,41.09,73.74,57.05,54.63,69.11,35.09,17.41,20.61,38.34,527.3
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2025,0.0,20.74,27.82,27.89,25.12,24.66,62.92,40.78,36.23,47.1,17.03,8.97,8.76,11.8,359.82
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2025,0.0,24.57,29.85,55.52,24.65,71.43,69.93,53.72,65.51,73.36,53.96,34.78,48.91,77.09,683.28
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2025,0.0,51.99,65.37,179.84,58.11,325.18,333.76,171.92,288.73,224.75,164.12,246.08,158.72,84.11,2352.68
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2025,0.0,10.7,13.29,10.49,14.34,7.8,33.0,21.05,16.57,18.59,6.67,2.36,2.87,4.3,162.03
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2025,0.0,28.4,34.44,21.32,38.01,11.92,62.57,36.84,23.12,31.26,10.04,5.5,6.63,13.91,323.96
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2025,0.0,34.68,41.51,27.62,38.19,29.63,51.12,29.32,21.39,41.57,20.61,10.24,25.7,43.39,414.97
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2025,0.0,77.64,61.95,73.85,105.26,56.75,167.3,66.81,111.95,70.12,45.14,39.32,31.07,30.93,938.09
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2025,0.0,24.75,34.09,39.11,24.77,47.32,57.09,42.54,41.91,67.69,42.06,21.6,29.08,40.92,512.93
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2025,0.0,25.39,26.67,25.11,23.96,19.92,54.57,46.76,45.86,41.28,19.54,9.4,13.51,16.94,368.91
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2025,0.0,38.74,41.86,45.76,57.24,38.35,115.13,38.46,50.58,51.86,30.28,24.94,24.03,16.92,574.15
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2025,0.0,24.83,25.63,35.73,13.49,115.72,42.54,30.06,49.25,64.39,81.7,92.26,88.89,54.05,718.54
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2025,0.0,88.3,92.35,74.86,101.54,45.62,179.86,80.08,59.22,71.99,16.65,9.43,19.19,11.93,851.02
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2025,0.0,64.03,67.65,50.47,80.63,52.94,120.19,49.97,38.36,54.33,16.9,32.56,26.75,13.5,668.28
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2025,0.0,69.47,77.02,89.02,62.49,88.75,138.9,121.67,138.91,150.65,102.86,54.22,76.56,82.54,1253.06
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2025,0.0,221.84,141.26,96.72,239.71,38.98,282.81,69.11,75.26,98.54,33.66,17.09,20.41,20.61,1356.0
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2025,0.0,47.47,43.47,26.5,47.46,26.95,56.22,24.83,14.26,26.18,5.99,2.91,6.57,5.15,333.96
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2025,0.0,88.08,79.66,49.39,83.87,25.2,115.2,48.22,28.47,48.53,7.58,5.14,8.27,8.79,596.4
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2025,0.0,40.94,45.19,61.72,55.9,43.96,175.24,44.64,61.58,74.75,38.41,27.47,23.91,19.78,713.49
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2025,0.0,7.64,7.15,15.08,3.83,26.6,27.69,20.4,40.98,30.83,30.37,14.59,20.09,16.02,261.27
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2025,0.0,20.58,28.9,59.31,22.14,71.04,125.97,56.29,116.27,104.81,84.38,56.89,41.12,35.27,822.97
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2025,0.0,46.57,56.76,28.16,66.76,20.9,54.83,39.39,25.07,40.6,14.54,8.07,16.58,11.32,429.55
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2025,0.0,54.34,75.04,86.02,69.01,104.8,205.55,138.62,194.16,166.63,78.26,49.43,39.1,56.39,1317.35
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2025,0.0,91.73,95.86,41.91,108.94,22.54,79.42,44.58,27.45,46.55,12.77,7.74,10.94,9.98,600.41
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2025,0.0,124.91,116.73,83.62,142.26,59.74,177.55,79.57,56.48,86.33,30.39,19.62,27.88,29.72,1034.8
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2025,0.0,14.0,16.64,38.85,8.78,120.08,42.3,34.36,77.48,76.03,104.0,94.42,136.35,53.54,816.83
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2025,0.0,90.68,104.04,37.3,128.33,23.35,84.8,52.68,28.07,54.1,14.4,7.89,12.08,13.61,651.33
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2025,0.0,72.52,84.71,63.51,85.11,122.95,121.0,72.83,62.87,87.18,56.49,82.81,78.18,88.4,1078.56
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2025,0.0,7.46,8.09,20.11,4.48,57.74,27.05,24.5,52.49,36.07,31.63,34.01,32.26,17.63,353.52
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2025,0.0,80.69,91.02,38.66,98.03,26.04,77.13,51.66,29.78,51.72,19.94,8.83,18.77,17.52,609.79
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2025,0.0,9.91,10.27,24.4,4.42,60.09,27.4,27.72,58.36,61.0,75.88,65.29,63.71,28.58,517.03
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2025,0.0,12.57,14.89,34.34,10.03,105.76,42.95,31.47,50.45,69.13,63.22,73.72,69.45,36.96,614.94
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2025,0.0,46.14,53.8,39.06,65.87,22.63,95.14,43.54,32.41,43.53,15.13,8.02,12.17,13.18,490.62
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2025,0.0,141.35,167.87,62.44,194.93,43.19,101.75,76.38,50.44,78.84,19.24,10.48,22.57,13.19,982.67
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2025,0.0,68.88,71.33,39.58,73.52,22.03,84.41,41.82,31.07,44.47,11.66,5.31,10.72,11.87,516.67
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2025,0.01,124.93,143.91,74.09,152.13,26.12,179.41,85.56,50.35,86.6,21.73,8.38,13.91,17.44,984.57
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2025,0.0,18.96,29.91,23.87,27.36,21.49,50.04,22.15,17.11,31.83,13.26,7.75,16.11,20.05,299.89
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2025,0.0,55.82,55.11,37.85,67.72,7.74,103.06,36.23,17.71,37.12,6.86,1.98,3.25,9.47,439.92
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2025,0.0,38.27,43.91,16.3,47.82,16.8,26.28,20.63,17.72,25.01,19.35,7.47,22.45,9.93,311.94
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2025,0.0,93.43,72.71,30.42,92.08,16.94,71.27,30.04,15.84,29.32,4.92,1.95,10.14,2.99,472.05
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2025,0.0,43.66,56.03,30.44,61.12,8.35,87.18,37.06,20.93,36.79,10.26,3.55,5.01,21.2,421.58
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2025,0.0,36.03,53.83,36.28,60.63,17.27,94.75,38.79,25.03,45.41,16.31,6.82,9.05,23.63,463.83
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2025,0.0,25.39,32.94,28.97,30.23,61.34,38.06,24.71,32.61,46.49,77.93,51.96,66.48,57.79,574.9
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2025,0.0,92.71,78.1,43.25,104.45,13.62,114.18,47.86,32.06,46.78,19.49,6.63,14.09,25.79,639.01
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2025,0.0,49.87,71.47,45.45,64.11,85.77,91.37,51.71,39.43,77.53,62.88,115.14,60.36,50.1,865.19
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2025,0.0,64.28,85.15,74.7,83.74,29.05,210.57,108.8,67.88,118.74,40.79,18.64,18.14,38.58,959.06
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2025,0.0,9.41,11.34,23.54,8.78,92.25,29.05,21.91,31.04,51.29,64.64,119.28,60.84,34.05,557.42
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2025,0.0,13.52,12.31,20.21,7.86,47.46,22.77,15.96,26.95,38.43,62.22,42.54,66.04,43.85,420.12
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2025,0.0,0.67,1.63,14.84,0.75,69.42,2.18,3.24,94.84,17.32,58.89,36.8,66.89,21.92,389.39
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2025,0.03,31.74,61.08,48.63,57.64,91.41,107.07,53.76,37.43,94.06,38.06,50.03,34.15,27.82,732.91
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2025,0.0,75.49,141.84,64.47,151.87,31.42,197.39,98.05,41.02,102.91,12.91,10.09,9.32,7.25,944.03
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2025,0.0,11.63,24.42,32.56,17.77,75.23,57.19,36.71,40.28,67.49,30.34,38.02,22.69,14.32,468.65
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2025,0.0,33.14,56.28,20.46,56.8,19.52,63.89,33.24,19.45,34.47,6.61,5.96,4.5,2.82,357.14
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2025,0.0,55.57,113.16,61.77,112.05,61.97,197.29,86.15,34.88,108.23,15.94,12.0,14.95,5.82,879.78
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2025,0.0,40.08,85.51,64.32,67.84,137.22,142.25,72.76,68.39,128.16,47.06,58.24,41.22,19.59,972.64
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2025,0.0,49.14,113.24,62.69,106.16,56.33,196.12,93.88,34.5,111.77,14.69,12.76,13.61,5.66,870.55
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2025,0.0,50.81,96.79,62.76,100.72,41.02,185.31,76.78,30.73,92.72,11.68,10.18,9.64,6.5,775.64
